Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776189223,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776189224,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776189225,8,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776189226,12,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776189227,16,,Aggregated,0.000000,0.000000,980,980,3800,3800,3800,3800,3800,3800,3800,3800,3800,4,3,930,1649.9324499964132,912.0819999952801,3774.4900999823585,434.5
1776189228,20,,Aggregated,0.000000,0.000000,930,980,980,1200,3800,3800,3800,3800,3800,3800,3800,9,8,930,1267.7193777732707,873.0459999933373,3774.4900999823585,394.22222222222223
1776189229,20,,Aggregated,0.000000,0.000000,930,980,980,1200,3800,3800,3800,3800,3800,3800,3800,9,8,930,1267.7193777732707,873.0459999933373,3774.4900999823585,394.22222222222223
1776189230,20,,Aggregated,1.000000,0.800000,980,980,1200,3800,6900,6900,6900,6900,6900,6900,6900,10,8,930,1830.321369995363,873.0459999933373,6893.739299994195,449.4
1776189231,20,,Aggregated,1.000000,0.800000,980,1200,5800,5800,6900,7700,7700,7700,7700,7700,7700,12,8,980,2655.3663999948185,873.0459999933373,7736.447100003716,539.5
1776189232,20,,Aggregated,1.500000,1.333333,1200,5800,6900,6900,7600,7700,7700,7700,7700,7700,7700,14,8,980,3311.6018999945873,873.0459999933373,7736.447100003716,569.0
1776189233,20,,Aggregated,1.500000,1.000000,3800,6900,7200,7600,7900,8200,8200,8200,8200,8200,8200,17,8,3800,4100.535547052619,873.0459999933373,8198.100099980365,713.3529411764706
1776189234,20,,Aggregated,1.500000,1.000000,4300,6900,7200,7600,7900,8200,8200,8200,8200,8200,8200,18,8,3800,4109.018077771503,873.0459999933373,8198.100099980365,728.3333333333334
1776189235,20,,Aggregated,1.555556,0.888889,5800,7200,7700,7900,10000,11000,11000,11000,11000,11000,11000,20,8,4300,4787.54214499495,873.0459999933373,11299.822200002382,679.55
1776189236,20,,Aggregated,1.600000,0.800000,5800,7200,7600,7700,8200,10000,11000,11000,11000,11000,11000,23,8,5800,4973.45912608232,873.0459999933373,11299.822200002382,710.3913043478261
1776189237,20,,Aggregated,1.800000,0.800000,5900,7200,7500,7700,8200,10000,11000,11000,11000,11000,11000,25,8,5900,5127.196987995412,873.0459999933373,11299.822200002382,806.32
1776189238,20,,Aggregated,2.300000,0.800000,5900,6900,7500,7600,8200,10000,11000,11000,11000,11000,11000,28,8,5800,5063.085032138458,873.0459999933373,11299.822200002382,820.5714285714286
1776189239,20,,Aggregated,2.400000,0.800000,5900,6900,7200,7600,8200,10000,11000,11000,11000,11000,11000,29,8,5900,5102.690272409557,873.0459999933373,11299.822200002382,822.3793103448276
1776189240,20,,Aggregated,2.400000,0.800000,6200,6900,7500,7700,10000,11000,15000,15000,15000,15000,15000,30,8,5900,5438.0875466624275,873.0459999933373,15164.608499995666,1167.6
1776189241,20,,Aggregated,2.200000,0.400000,5900,6900,7200,7600,8200,11000,15000,15000,15000,15000,15000,33,8,5900,5332.033112116871,873.0459999933373,15164.608499995666,1126.5454545454545
1776189242,20,,Aggregated,1.900000,0.000000,5900,6900,7500,7700,10000,11000,15000,15000,15000,15000,15000,35,8,5900,5512.560594280616,873.0459999933373,15164.608499995666,1110.057142857143
1776189243,20,,Aggregated,2.100000,0.000000,6200,6900,7600,7700,11000,14000,15000,15000,15000,15000,15000,36,8,5900,5743.999977773153,873.0459999933373,15164.608499995666,1415.5277777777778
1776189244,20,,Aggregated,2.100000,0.000000,5900,6900,7200,7600,10000,11000,15000,15000,15000,15000,15000,41,11,5900,5459.615685361602,873.0459999933373,15164.608499995666,1315.1463414634147
1776189245,20,,Aggregated,2.000000,0.000000,5900,6900,7500,7700,10000,11000,15000,15000,15000,15000,15000,44,12,5800,5478.003265905004,873.0459999933373,15164.608499995666,1254.090909090909
1776189246,20,,Aggregated,2.000000,0.000000,5800,6900,7200,7700,10000,11000,15000,15000,15000,15000,15000,45,13,5800,5374.923426663089,839.4105000188574,15164.608499995666,1234.2666666666667
1776189247,20,,Aggregated,2.300000,0.400000,5600,6900,7500,7900,11000,14000,15000,15000,15000,15000,15000,53,18,5600,5427.034541506008,839.4105000188574,15164.608499995666,1441.698113207547
1776189248,20,,Aggregated,2.200000,0.500000,5800,6900,7500,7900,11000,14000,15000,15000,15000,15000,15000,54,18,5600,5434.192751848496,839.4105000188574,15164.608499995666,1433.3333333333333
1776189249,20,,Aggregated,2.200000,0.500000,5800,6900,7600,8200,12000,14000,15000,15000,15000,15000,15000,55,18,5800,5559.231247269252,839.4105000188574,15164.608499995666,1412.0363636363636
1776189250,20,,Aggregated,2.600000,1.000000,5900,7200,7900,10000,13000,14000,15000,15000,15000,15000,15000,58,18,5800,5822.518141376224,839.4105000188574,15164.608499995666,1626.844827586207
1776189251,20,,Aggregated,2.600000,1.000000,5800,6900,7900,10000,13000,14000,15000,15000,15000,15000,15000,59,18,5800,5762.7101830479105,839.4105000188574,15164.608499995666,1610.6440677966102
1776189252,20,,Aggregated,2.700000,1.000000,5800,6900,7700,8300,12000,13000,15000,15000,15000,15000,15000,61,18,5800,5725.268072128529,839.4105000188574,15164.608499995666,1596.360655737705
1776189253,20,,Aggregated,2.600000,1.000000,5600,6900,7700,8300,12000,13000,15000,15000,15000,15000,15000,63,18,5600,5660.687017458258,839.4105000188574,15164.608499995666,1558.8412698412699
1776189254,20,,Aggregated,2.600000,1.000000,5600,6900,7600,8300,12000,13000,15000,15000,15000,15000,15000,65,20,5600,5515.641990766968,839.4105000188574,15164.608499995666,1522.0153846153846
1776189255,20,,Aggregated,2.700000,1.000000,5800,7100,7900,10000,13000,15000,15000,17000,17000,17000,17000,69,20,5800,5879.14316376597,839.4105000188574,17009.52680001501,1683.8985507246377
1776189256,20,,Aggregated,2.700000,1.000000,5800,7100,7900,10000,13000,15000,15000,17000,17000,17000,17000,69,20,5800,5879.14316376597,839.4105000188574,17009.52680001501,1683.8985507246377
1776189257,20,,Aggregated,2.500000,0.800000,5800,7100,7900,8300,13000,15000,15000,17000,17000,17000,17000,73,20,5800,5816.48290136786,839.4105000188574,17009.52680001501,1659.7123287671234
1776189258,20,,Aggregated,2.400000,0.700000,5800,7000,7900,8300,13000,15000,15000,17000,17000,17000,17000,75,20,5800,5808.7729626649525,839.4105000188574,17009.52680001501,1642.84
1776189259,20,,Aggregated,2.200000,0.300000,5600,7000,7900,8300,13000,15000,17000,17000,17000,17000,17000,79,20,5600,5888.5873012643315,839.4105000188574,17009.52680001501,1749.139240506329
1776189260,20,,Aggregated,2.000000,0.200000,5600,7000,7900,8300,13000,15000,17000,17000,17000,17000,17000,81,20,5600,5928.051549381143,839.4105000188574,17009.52680001501,1737.79012345679
1776189261,20,,Aggregated,2.300000,0.200000,5600,7000,7900,10000,13000,15000,17000,17000,17000,17000,17000,83,20,5600,6005.336057829547,839.4105000188574,17009.52680001501,1796.5903614457832
1776189262,20,,Aggregated,2.300000,0.200000,5800,7200,8200,10000,13000,15000,17000,17000,17000,17000,17000,85,20,5800,6180.242362351376,839.4105000188574,17009.52680001501,1940.5764705882352
1776189263,20,,Aggregated,2.300000,0.200000,5600,7100,8200,10000,13000,15000,17000,17000,17000,17000,17000,89,22,5600,6122.552120223251,839.4105000188574,17009.52680001501,1955.2134831460673
1776189264,20,,Aggregated,2.400000,0.200000,5600,7000,8200,10000,13000,15000,17000,17000,17000,17000,17000,92,24,5600,5993.143811954803,830.5051999923307,17009.52680001501,1903.5760869565217
1776189265,20,,Aggregated,2.400000,0.300000,5600,7100,7900,10000,13000,15000,17000,17000,17000,17000,17000,97,25,5600,6008.065285565591,830.5051999923307,17009.52680001501,1858.8865979381444
1776189266,20,,Aggregated,2.400000,0.300000,5600,7100,7900,10000,13000,15000,17000,17000,17000,17000,17000,98,25,5600,6016.4518908149685,830.5051999923307,17009.52680001501,1863.8163265306123
1776189267,20,,Aggregated,2.600000,0.500000,5800,7000,7900,10000,13000,14000,15000,17000,17000,17000,17000,101,25,5800,6028.608842573064,830.5051999923307,17009.52680001501,1839.039603960396
1776189268,20,,Aggregated,2.900000,0.500000,5800,6900,7900,10000,13000,14000,15000,17000,17000,17000,17000,103,25,5800,6005.576837862711,830.5051999923307,17009.52680001501,1817.611650485437
1776189269,20,,Aggregated,2.600000,0.500000,5800,6900,7900,10000,13000,14000,15000,17000,17000,17000,17000,106,25,5600,6032.8273726402085,830.5051999923307,17009.52680001501,1897.9811320754718
1776189270,20,,Aggregated,2.900000,0.500000,5600,6900,7700,10000,13000,14000,15000,17000,17000,17000,17000,109,26,5600,5926.985922934639,830.5051999923307,17009.52680001501,1858.834862385321
1776189271,20,,Aggregated,2.500000,0.500000,5200,6800,7600,8300,13000,14000,15000,17000,17000,17000,17000,115,30,5200,5739.054938259474,830.5051999923307,17009.52680001501,1790.9304347826087
1776189272,20,,Aggregated,2.500000,0.500000,5200,6800,7600,8200,13000,14000,15000,17000,17000,17000,17000,116,31,5200,5696.586990515964,812.7730000123847,17009.52680001501,1778.6120689655172
1776189273,20,,Aggregated,2.500000,0.500000,5200,6800,7600,8200,13000,14000,15000,17000,17000,17000,17000,116,31,5200,5696.586990515964,812.7730000123847,17009.52680001501,1778.6120689655172
1776189274,20,,Aggregated,3.100000,1.100000,5600,6900,7600,8300,13000,14000,15000,17000,17000,17000,17000,118,31,5200,5733.488144066433,812.7730000123847,17009.52680001501,1772.6949152542372
1776189275,20,,Aggregated,2.900000,1.000000,5200,6900,7600,8200,13000,14000,15000,17000,17000,17000,17000,121,31,5200,5711.291599172323,812.7730000123847,17009.52680001501,1745.809917355372
1776189276,20,,Aggregated,2.900000,1.000000,5600,6900,7700,8200,13000,14000,15000,17000,17000,17000,17000,122,31,5200,5730.236447539818,812.7730000123847,17009.52680001501,1750.6967213114754
1776189277,20,,Aggregated,2.500000,0.600000,5600,6900,7900,8300,13000,14000,16000,17000,17000,17000,17000,124,31,5600,5848.943711289217,812.7730000123847,17009.52680001501,1814.5806451612902
1776189278,20,,Aggregated,2.400000,0.600000,5600,6900,7900,8900,13000,15000,17000,17000,18000,18000,18000,130,32,5600,5921.675148460334,812.7730000123847,17989.17439999059,1822.8923076923077
1776189279,20,,Aggregated,2.400000,0.600000,5600,6900,7700,8300,13000,15000,17000,17000,18000,18000,18000,134,34,5600,5855.922123879227,812.7730000123847,17989.17439999059,1787.0298507462687
1776189280,20,,Aggregated,2.400000,0.600000,5600,6900,7700,8300,13000,15000,17000,17000,18000,18000,18000,135,35,5600,5819.423207405877,812.7730000123847,17989.17439999059,1776.474074074074
1776189281,20,,Aggregated,2.300000,0.600000,5600,7000,7900,8300,13000,15000,17000,17000,18000,18000,18000,138,35,5600,5906.580044201279,812.7730000123847,17989.17439999059,1756.3260869565217
1776189282,20,,Aggregated,2.300000,0.600000,5600,7000,7900,8300,13000,15000,17000,17000,18000,18000,18000,138,35,5600,5906.580044201279,812.7730000123847,17989.17439999059,1756.3260869565217
1776189283,20,,Aggregated,2.500000,0.700000,5600,6900,7900,8300,13000,15000,17000,17000,18000,18000,18000,139,35,5600,5891.215238127842,812.7730000123847,17989.17439999059,1746.525179856115
1776189284,20,,Aggregated,2.200000,0.400000,5600,7100,7900,8300,13000,14000,17000,17000,18000,18000,18000,141,35,5600,5925.184819856428,812.7730000123847,17989.17439999059,1737.5673758865248
1776189285,20,,Aggregated,2.200000,0.400000,5600,7000,7900,8300,13000,14000,17000,17000,18000,18000,18000,142,35,5600,5914.160603519429,812.7730000123847,17989.17439999059,1728.0352112676057
1776189286,20,,Aggregated,2.200000,0.400000,5600,7000,7900,8300,13000,14000,17000,17000,18000,18000,18000,144,35,5600,5912.104828470547,812.7730000123847,17989.17439999059,1722.1180555555557
1776189287,20,,Aggregated,2.200000,0.400000,5800,7100,7900,8500,13000,15000,17000,17000,18000,18000,18000,149,35,5800,6028.339157045245,812.7730000123847,17989.17439999059,1863.9530201342282
1776189288,20,,Aggregated,2.200000,0.400000,5800,7100,7900,8500,13000,15000,17000,17000,18000,18000,18000,150,35,5800,6036.513450664934,812.7730000123847,17989.17439999059,1867.14
1776189289,20,,Aggregated,2.200000,0.400000,5800,7100,7900,8500,13000,15000,17000,17000,18000,18000,18000,150,35,5800,6036.513450664934,812.7730000123847,17989.17439999059,1867.14
1776189290,20,,Aggregated,2.500000,0.400000,5800,7100,8000,8500,13000,15000,16000,17000,18000,18000,18000,152,35,5800,6080.709904603474,812.7730000123847,17989.17439999059,1851.657894736842
1776189291,20,,Aggregated,1.800000,0.200000,5800,7100,8000,8900,13000,15000,16000,17000,18000,18000,18000,153,35,5800,6101.289792155072,812.7730000123847,17989.17439999059,1841.1045751633987
1776189292,20,,Aggregated,1.500000,0.000000,5800,7100,8000,8900,13000,15000,16000,17000,18000,18000,18000,154,35,5800,6083.433368829323,812.7730000123847,17989.17439999059,1831.642857142857
1776189293,20,,Aggregated,1.400000,0.000000,5800,7100,8000,8900,13000,15000,16000,17000,18000,18000,18000,157,36,5800,6090.476894265509,812.7730000123847,17989.17439999059,1844.592356687898
1776189294,20,,Aggregated,1.500000,0.000000,5800,7100,8100,10000,13000,15000,16000,17000,18000,18000,18000,163,38,5800,6163.410279139208,812.7730000123847,17989.17439999059,1934.9754601226994
1776189295,20,,Aggregated,1.600000,0.000000,5800,7200,8200,10000,13000,15000,16000,17000,18000,18000,18000,164,38,5800,6200.426553656587,812.7730000123847,17989.17439999059,1924.621951219512
1776189296,20,,Aggregated,2.000000,0.200000,5800,7200,8200,10000,14000,15000,16000,17000,18000,18000,18000,166,38,5800,6238.425336142789,812.7730000123847,17989.17439999059,1953.433734939759
1776189297,20,,Aggregated,2.200000,0.300000,5900,7200,8200,10000,14000,15000,16000,17000,18000,18000,18000,168,38,5800,6262.778464879028,812.7730000123847,17989.17439999059,1952.9107142857142
1776189298,20,,Aggregated,2.000000,0.300000,5900,7300,8200,10000,14000,15000,16000,17000,18000,18000,18000,170,38,5800,6258.0867299981255,812.7730000123847,17989.17439999059,1943.6941176470589
1776189299,20,,Aggregated,2.100000,0.300000,5800,7200,8200,10000,13000,15000,16000,17000,18000,18000,18000,174,41,5600,6153.8710729868,812.7730000123847,17989.17439999059,1907.7298850574712
1776189300,20,,Aggregated,1.800000,0.300000,5600,7200,8200,10000,13000,15000,16000,17000,18000,18000,18000,175,42,5600,6123.739030855441,812.7730000123847,17989.17439999059,1898.8971428571429
1776189301,20,,Aggregated,2.000000,0.300000,5600,7200,8200,10000,14000,15000,16000,17000,18000,18000,18000,181,44,5600,6163.639771821523,787.1880000166129,17989.17439999059,1934.2596685082874
1776189302,20,,Aggregated,2.400000,0.600000,5800,7200,8300,10000,14000,15000,16000,17000,18000,18000,18000,184,44,5600,6246.056710867813,787.1880000166129,17989.17439999059,2034.6195652173913
1776189303,20,,Aggregated,2.500000,0.800000,5800,7300,8300,10000,14000,15000,16000,17000,18000,18000,18000,186,44,5800,6309.0091634392165,787.1880000166129,17989.17439999059,2067.3763440860216
1776189304,20,,Aggregated,2.900000,0.900000,5800,7400,8300,10000,14000,15000,16000,17000,18000,18000,18000,187,44,5800,6316.075578073282,787.1880000166129,17989.17439999059,2063.2834224598932
1776189305,20,,Aggregated,3.000000,0.900000,5800,7400,8300,10000,14000,15000,16000,17000,18000,18000,18000,189,44,5800,6317.118859257785,787.1880000166129,17989.17439999059,2044.6084656084656
1776189306,20,,Aggregated,2.700000,0.700000,5800,7400,8300,10000,14000,15000,16000,17000,18000,18000,18000,190,44,5800,6308.175818945778,787.1880000166129,17989.17439999059,2036.3526315789475
1776189307,20,,Aggregated,2.400000,0.600000,5700,7300,8300,10000,14000,15000,16000,17000,18000,18000,18000,193,44,5700,6275.322322278143,787.1880000166129,17989.17439999059,2016.4041450777202
1776189308,20,,Aggregated,2.500000,0.600000,5700,7300,8300,10000,14000,15000,16000,17000,18000,18000,18000,194,44,5600,6265.910879379833,787.1880000166129,17989.17439999059,2008.2319587628865
1776189309,20,,Aggregated,2.400000,0.600000,5600,7200,8300,10000,14000,15000,16000,17000,18000,18000,18000,196,44,5600,6250.003889283998,787.1880000166129,17989.17439999059,1996.9030612244899
1776189310,20,,Aggregated,2.400000,0.600000,5600,7200,8300,10000,14000,15000,16000,17000,18000,18000,18000,196,44,5600,6250.003889283998,787.1880000166129,17989.17439999059,1996.9030612244899
1776189311,20,,Aggregated,2.400000,0.600000,5700,7400,8300,10000,14000,15000,16000,17000,18000,18000,18000,200,44,5600,6311.3330789979955,787.1880000166129,17989.17439999059,2003.915
1776189312,20,,Aggregated,2.200000,0.300000,5600,7300,8300,10000,14000,15000,16000,17000,18000,18000,18000,203,45,5600,6285.800746303416,787.1880000166129,17989.17439999059,1987.1576354679803
